id,name,email,roll_number,role,branch,degree,graduation_year,location,skills,interests,projects,certifications,career_goal,target_role,target_industry,bio,career_journey,is_synthetic,synthetic_fields,profile_completeness,updated_at
60,Priya Gupta,priya.22bca0060@hitam.org,22BCA0060,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
61,Aditya Menon,aditya.22com0061@hitam.org,22COM0061,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
62,Pooja Kulkarni,pooja.22inf0062@hitam.org,22INF0062,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
63,Rohit Mukherjee,rohit.22ele0063@hitam.org,22ELE0063,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
64,Kavya Sen,kavya.22cse0064@hitam.org,22CSE0064,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
65,Siddharth Reddy,siddharth.22cse0065@hitam.org,22CSE0065,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
66,Divya Kumar,divya.22cse0066@hitam.org,22CSE0066,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
67,Manish Nair,manish.22cse0067@hitam.org,22CSE0067,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
68,Shreya Joshi,shreya.22mec0068@hitam.org,22MEC0068,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
69,Nikhil Chatterjee,nikhil.22ele0069@hitam.org,22ELE0069,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
70,Ananya Das,ananya.22civ0070@hitam.org,22CIV0070,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
71,Harsha Sharma,harsha.22mec0071@hitam.org,22MEC0071,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
72,Meera Rao,meera.22bca0072@hitam.org,22BCA0072,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
73,Varun Singh,varun.22com0073@hitam.org,22COM0073,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
74,Isha Iyer,isha.22inf0074@hitam.org,22INF0074,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
75,Rohan Desai,rohan.22ele0075@hitam.org,22ELE0075,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
76,Tanya Banerjee,tanya.22cse0076@hitam.org,22CSE0076,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
77,Yash Bose,yash.22cse0077@hitam.org,22CSE0077,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
78,Nidhi Verma,nidhi.22cse0078@hitam.org,22CSE0078,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
79,Karthik Patel,karthik.22cse0079@hitam.org,22CSE0079,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
80,Deepika Gupta,deepika.22mec0080@hitam.org,22MEC0080,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
81,Akash Menon,akash.22ele0081@hitam.org,22ELE0081,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
82,Swati Kulkarni,swati.22civ0082@hitam.org,22CIV0082,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
83,Pranav Mukherjee,pranav.22mec0083@hitam.org,22MEC0083,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
84,Aishwarya Sen,aishwarya.22bca0084@hitam.org,22BCA0084,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
85,Vivek Reddy,vivek.22com0085@hitam.org,22COM0085,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
86,Rashmi Kumar,rashmi.22inf0086@hitam.org,22INF0086,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
87,Naveen Nair,naveen.22ele0087@hitam.org,22ELE0087,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
88,Lakshmi Joshi,lakshmi.22cse0088@hitam.org,22CSE0088,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
89,Abhishek Chatterjee,abhishek.22cse0089@hitam.org,22CSE0089,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
90,Preeti Das,preeti.22cse0090@hitam.org,22CSE0090,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
91,Gaurav Sharma,gaurav.22cse0091@hitam.org,22CSE0091,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
92,Sakshi Rao,sakshi.22mec0092@hitam.org,22MEC0092,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
93,Rajat Singh,rajat.22ele0093@hitam.org,22ELE0093,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
94,Anita Iyer,anita.22civ0094@hitam.org,22CIV0094,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
95,Suresh Desai,suresh.22mec0095@hitam.org,22MEC0095,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
96,Rekha Banerjee,rekha.22bca0096@hitam.org,22BCA0096,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
97,Vinay Bose,vinay.22com0097@hitam.org,22COM0097,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
98,Neelam Verma,neelam.22inf0098@hitam.org,22INF0098,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
99,Alok Patel,alok.22ele0099@hitam.org,22ELE0099,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
100,Sunita Gupta,sunita.22cse0100@hitam.org,22CSE0100,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
